pair_id,attr,left,right
30,categories,"{""primary"":""mortgage_lender"",""alternate"":[""mortgage_broker""]}","{""primary"":""mortgage_lender"",""alternate"":[""mortgage_broker""]}"
30,confidence,0.77,0.77
30,websites,"[""""]","[""http://www.wallawallamortgage.com/""]"
30,socials,,
30,emails,,
30,phones,"[""5093011661""]","[""5093011661""]"
30,brand,"{""names"":{}}","{""names"":{}}"
30,addresses,"[{""freeform"":""30 S Palouse St"",""locality"":""Walla Walla"",""region"":""WA"",""country"":""US"",""postcode"":""99362""}]","[{""freeform"":""30 S Palouse St"",""locality"":""Walla Walla"",""region"":""WA"",""country"":""US"",""postcode"":""99362""}]"
31,names,"{""primary"":""Terminix""}","{""primary"":""Terminix""}"
31,categories,"{""primary"":""pest_control_service""}","{""primary"":""pest_control_service""}"
31,confidence,0.77,0.77
31,websites,"[""http://www.terminix.com/""]","[""https://www.terminix.com/exterminators/ga/bainbridge-2615/""]"
31,socials,,
31,emails,,
31,phones,"[""2295154079""]","[""2296718791""]"
31,brand,"{""names"":{}}",
31,addresses,"[{""freeform"":""334 S Collier St"",""locality"":""Bainbridge"",""region"":""GA"",""country"":""US"",""postcode"":""39819""}]","[{""freeform"":""334 S Collier St"",""locality"":""Bainbridge"",""postcode"":""39819"",""region"":""GA"",""country"":""US""}]"
32,names,"{""primary"":""Kupferstecher Frankfurt""}","{""primary"":""Kupferstecher Frankfurt""}"
32,categories,"{""primary"":""burger_restaurant"",""alternate"":[""cafe"",""pizza_restaurant"",""salad_bar"",""food"",""restaurant""]}","{""primary"":""restaurant"",""alternate"":[""german_restaurant"",""burger_restaurant""]}"
32,confidence,0.77,0.9962614185921548
32,websites,"[""https://kupferstecher-frankfurt.de/""]","[""https://kupferstecher-frankfurt.de/""]"
